Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Daryaganj,"Regal Cinema Complex,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.1,38,2000
Berco's,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai",4.3,1378,1500
Barbeque Nation,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Barbecue,  Mughlai",4.4,610,1700
Bagundi,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"South Indian,  Andhra,  Seafood",4.3,167,1000
Biryani By Kilo,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Mughlai,  Biryani",4.1,181,800
Sincity,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental,  Mexican,  Asian,  Mughlai",3.8,110,1800
Naivedyam,"Connaught Place, Central Delhi", Central Delhi,Delhi,South Indian,3.8,54,500
AIR An Ivory Region,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Italian,  Street Food",4,3270,1200
Punjab Grill,"Janpath, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.1,147,2200
The Immigrant Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental",4,65,2100
Pind Balluchi,"Janpath, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4,180,1800
Bo-Tai Switch,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,"Italian,  Thai",4.1,69,1200
Taste of China,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai",4.1,91,2000
Blues,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  Finger Food,  North Indian,  Chinese,  Continental,  American",4.2,92,2000
Taco Bell,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Mexican,  Tex Mex",4,37,500
The Host,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Seafood,  Mughlai,  Oriental ",4.2,75,2500
THE ART HOUSE Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental",3.9,574,2500
DR Zombie,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Italian,  American,  Coffee",4.1,158,1800
Wok in the Clouds,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai,  Asian,  North Indian,  Continental",4.4,69,2200
Kinbuck 2,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental,  Asian,  Chinese,  South Indian,  Fast Food",3.8,263,1800
Ranisa,"Connaught Place, Central Delhi", Central Delhi,Delhi,Rajasthani,4.4,9,800
The Embassy,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  European",4.2,276,2800
World Of My Bar,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Fast Food",4.1,43,2200
Biryani Blues,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"Biryani,  Hyderabadi",4.2,187,1200
Chaayos,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Street Food,  Tea,  Fast Food",4.2,68,500
The Great Kabab Factory,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.2,146,3000
Khandani Rajdhani,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"Gujarati,  Rajasthani",4,417,1000
Chaayos,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Street Food,  Tea,  Fast Food",4.3,66,500
Mughal-E-Hazam,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,5,1,1200
Creme Borne,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Desserts,  Ice Cream,  Fast Food",4.8,9,500
The Imperial Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  European",4.4,23,2500
